criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,21,61,3,0.9998599835518733,3.5900520075720484e-05,11.343,35,ARP
gini,29,53,3,0.9997999911090367,6.665777730324057e-05,8.714,36,ARP
gini,25,51,7,0.9992332617264787,0.00018674216910585792,10.35,37,ARP
entropy,13,49,2,0.9997935996999636,0.0005320500904153634,9.07,38,ARP
entropy,17,52,3,0.9999066533292877,5.333333208841218e-05,10.715,39,ARP
gini,21,61,2,1.0,0.0,11.365,40,ARP
entropy,24,4,2,0.9999933319995332,2.000400140040881e-05,4.279,41,ARP
gini,21,42,2,1.0,0.0,8.009,42,ARP
gini,27,41,3,0.999813325330844,8.325724474358201e-05,8.673,43,ARP
gini,13,35,6,0.9991867482730783,0.0003409042557493892,6.883,44,ARP
gini,28,3,2,1.0,0.0,2.72,45,ARP
entropy,31,1,2,0.9998199283719427,0.00023685839588294709,4.006,46,ARP
gini,28,23,2,1.0,0.0,5.785,47,ARP
gini,32,32,2,1.0,0.0,5.902,48,ARP
gini,23,21,2,1.0,0.0,6.206,49,ARP
entropy,8,5,7,0.9996829248188908,0.00036813910225893403,0.446,0,SP
entropy,13,5,6,0.9998868159693102,0.00011318403068971694,0.403,1,SP
gini,6,9,2,1.0,0.0,0.427,2,SP
entropy,29,6,2,1.0,0.0,0.379,3,SP
gini,11,9,5,0.999977363193862,6.791041841383016e-05,0.461,4,SP
entropy,26,4,5,0.9999547263877242,9.054722455177356e-05,0.352,5,SP
gini,17,8,2,1.0,0.0,0.4,6,SP
entropy,29,4,9,0.9996602720297878,0.00029107998136733193,0.361,7,SP
entropy,22,4,6,0.9998189853348245,0.00019721498815122133,0.379,8,SP
gini,20,9,7,0.9997508831600201,0.00029456507069663653,0.451,9,SP
entropy,27,9,5,0.9999094527754483,0.00011089724888852723,0.51,10,SP
entropy,15,9,5,0.9999320895815862,0.00010373487761916656,0.461,11,SP
entropy,15,7,8,0.9997509791364436,0.00023642548728357814,0.399,12,SP
gini,22,2,8,0.9997961728469683,0.0002572820149113317,0.284,13,SP
gini,8,3,6,0.9998642270335292,0.00020734441306042895,0.33,14,SP
gini,6,3,7,0.9994568278271672,0.0002899659148390741,0.318,15,SP
entropy,12,6,2,1.0,0.0,0.414,16,SP
entropy,29,3,7,0.9997508192149913,0.000342925822450359,0.399,17,SP
gini,26,1,5,0.9999547263877242,9.054722455177356e-05,0.299,18,SP
gini,10,1,6,0.9997737116833267,0.00022624050315917343,0.328,19,SP
entropy,11,7,2,1.0,0.0,0.499,20,SP
gini,10,9,3,1.0,0.0,0.438,21,SP
gini,10,5,6,0.9997963325719009,0.00018791250857761086,0.354,22,SP
gini,11,8,3,1.0,0.0,0.405,23,SP
entropy,12,2,6,0.9997511704482402,0.0002759402786270153,0.289,24,SP
entropy,31,9,3,1.0,0.0,0.471,25,SP
entropy,14,5,9,0.9996375872419433,0.00033914501698611874,0.39,26,SP
entropy,32,3,9,0.9997508992346923,0.00023650972934647523,0.378,27,SP
gini,30,4,6,0.9998415423439446,0.00017679914401522273,0.353,28,SP
gini,10,6,7,0.9997282144796591,0.0002829409325566155,0.395,29,SP
entropy,13,8,2,1.0,0.0,0.448,30,SP
entropy,25,9,4,1.0,0.0,0.515,31,SP
gini,13,10,5,0.999954726387724,9.054722455177355e-05,0.475,32,SP
gini,22,2,4,0.999977363193862,6.791041841383016e-05,0.283,33,SP
entropy,25,9,6,0.9999094527754483,0.00011089724888852723,0.478,34,SP
gini,18,7,5,0.999977363193862,6.791041841383016e-05,0.362,35,SP
entropy,5,10,3,1.0,0.0,0.445,36,SP
entropy,27,8,2,1.0,0.0,0.416,37,SP
entropy,9,10,3,1.0,0.0,0.477,38,SP
gini,13,5,5,0.9999094527754483,0.00011089724888852723,0.384,39,SP
entropy,30,9,8,0.9997508992346923,0.00023650972934647523,0.52,40,SP
entropy,7,9,6,0.9997963644920091,0.00021342665815667384,0.498,41,SP
gini,12,10,2,1.0,0.0,0.464,42,SP
gini,27,10,2,1.0,0.0,0.476,43,SP
entropy,15,5,6,0.9997058970252535,0.0002273113506591673,0.427,44,SP
